authors;publication_year;exp_route;animal_id;dose;ves_cyst;deg_cyst;total_cyst;brain_cyst
Alroy KA, Arroyo G, Gilman RH, Gonzales-Gustavson E, Gallegos L, Gavidia CM, Verastegui M, Rodriguez S, Lopez T, Gomez-Puerta LA, Alroy J, Garcia HH, Gonzalez AE, For The Cysticercosis Working Group In Peru.;2018;carotid;108;10000;75;1;76;0
Alroy KA, Arroyo G, Gilman RH, Gonzales-Gustavson E, Gallegos L, Gavidia CM, Verastegui M, Rodriguez S, Lopez T, Gomez-Puerta LA, Alroy J, Garcia HH, Gonzalez AE, For The Cysticercosis Working Group In Peru.;2018;carotid;6;45000;128;0;128;1
Alroy KA, Arroyo G, Gilman RH, Gonzales-Gustavson E, Gallegos L, Gavidia CM, Verastegui M, Rodriguez S, Lopez T, Gomez-Puerta LA, Alroy J, Garcia HH, Gonzalez AE, For The Cysticercosis Working Group In Peru.;2018;carotid;9;50000;19;5;24;0
Alroy KA, Arroyo G, Gilman RH, Gonzales-Gustavson E, Gallegos L, Gavidia CM, Verastegui M, Rodriguez S, Lopez T, Gomez-Puerta LA, Alroy J, Garcia HH, Gonzalez AE, For The Cysticercosis Working Group In Peru.;2018;carotid;101;50000;2075;4;2079;19
Alroy KA, Arroyo G, Gilman RH, Gonzales-Gustavson E, Gallegos L, Gavidia CM, Verastegui M, Rodriguez S, Lopez T, Gomez-Puerta LA, Alroy J, Garcia HH, Gonzalez AE, For The Cysticercosis Working Group In Peru.;2018;carotid;103;50000;1829;41;1870;7
Alroy KA, Arroyo G, Gilman RH, Gonzales-Gustavson E, Gallegos L, Gavidia CM, Verastegui M, Rodriguez S, Lopez T, Gomez-Puerta LA, Alroy J, Garcia HH, Gonzalez AE, For The Cysticercosis Working Group In Peru.;2018;carotid;105;50000;705;0;705;8
Alroy KA, Arroyo G, Gilman RH, Gonzales-Gustavson E, Gallegos L, Gavidia CM, Verastegui M, Rodriguez S, Lopez T, Gomez-Puerta LA, Alroy J, Garcia HH, Gonzalez AE, For The Cysticercosis Working Group In Peru.;2018;carotid;107;50000;1064;1;1065;2
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;1;0;0;0;0;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;2;0;0;0;0;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;3;0;0;0;0;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;4;0;0;0;0;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;5;10;0;0;0;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;6;10;0;1;1;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;7;10;2;0;2;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;8;10;0;1;1;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;9;100;0;3;3;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;10;100;0;0;0;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;11;100;0;0;0;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;12;100;0;5;5;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;13;100;2;1;3;0
