authors;publication_year;exp_route;animal_id;dose;ves_cyst;deg_cyst;total_cyst;brain_cyst
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;14;1000;2;9;11;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;15;1000;0;5;5;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;16;1000;0;2;2;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;17;1000;0;0;0;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;18;10000;406;3;409;2
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;19;10000;170;0;170;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;20;10000;80;128;208;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;21;10000;16;3;19;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;22;10000;444;28;472;2
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;23;100000;360;14;374;6
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;24;100000;1253;0;1253;15
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;25;100000;860;22;882;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;26;100000;450;0;450;0
Santamaría E, Plancarte A, de Aluja AS.;2002;eggs;27;100000;799;0;799;5
Silva ME.;2004;eggs;7464;100;0;0;0;0
Silva ME.;2004;eggs;7474;100;2;2;4;0
Silva ME.;2004;eggs;7431;100;0;1;1;0
Silva ME.;2004;eggs;7456;100;0;1;1;0
Silva ME.;2004;eggs;7463;1000;7;0;7;0
Silva ME.;2004;eggs;7444;1000;4;12;16;0
Silva ME.;2004;eggs;7426;1000;0;17;17;0
Silva ME.;2004;eggs;7437;1000;0;12;12;0
Cysticercosis Working Group in Peru - Unpublished data;2004;eggs;7441;1000;0;23;23;0
Cysticercosis Working Group in Peru - Unpublished data;2004;eggs;7453;1000;0;5;5;0
Cysticercosis Working Group in Peru - Unpublished data;2004;eggs;7459;1000;0;1;1;0
Silva ME.;2004;eggs;5957;10000;278;16;294;0
Silva ME.;2004;eggs;5966;10000;166;4;170;0
Silva ME.;2004;eggs;5960;10000;10;26;36;0
Silva ME.;2004;eggs;5963;10000;1;119;120;0
Silva ME.;2004;eggs;3640;0;0;0;0;0
Silva ME.;2004;eggs;5961;0;0;0;0;0
Silva ME.;2004;eggs;5968;0;0;0;0;0
Deckers N, Kanobana K, Silva M, Gonzalez AE, Garcia HH, Gilman RH, Dorny P.;2008;proglottids;8115;1;6210;36;6246;
Deckers N, Kanobana K, Silva M, Gonzalez AE, Garcia HH, Gilman RH, Dorny P.;2008;proglottids;8116;1;3295;4;3299;
Deckers N, Kanobana K, Silva M, Gonzalez AE, Garcia HH, Gilman RH, Dorny P.;2008;proglottids;8113;1;1946;92;2038;
Deckers N, Kanobana K, Silva M, Gonzalez AE, Garcia HH, Gilman RH, Dorny P.;2008;proglottids;8114;1;112;190;302;
Deckers N, Kanobana K, Silva M, Gonzalez AE, Garcia HH, Gilman RH, Dorny P.;2008;proglottids;8117;1;0;0;0;
